"HolderAddress","Balance","PendingBalanceUpdate"
"0x83bc5bef5c888b31333b4db66f0893ce3f254b8a","543593.395163054","No"
"0x84e53ab91c753ab27b7a937823e5dff06a816be3","19733.22031089","No"
"0x86642f3d721c2a22b48323813fdb449f68f17893","6E-09","No"
"0x869b911f7e0794fa7b3a6e51eba86d174a7e565a","1E-09","No"
"0x86aa299c1045b3c841cba4f2f70302e7d8a60221","7265.657572699","No"
"0x8738ff0e3aa2e7e34cb854f9522fe2b5b58a0b35","15637.668538405","No"
"0x884e9cf3dbfedfbac587e2ba75bfda249078425f","5E-09","No"
"0x88d1dad7535a1346a1356a9f24dcaa4cba67128c","1272.821360724","No"
"0x8ae125505fa2b55470f01792bd04d59568b057c2","5E-09","No"
"0x8b18d95aab24bbe8a70061bc5cd3271e2cf3a210","2910.82659839","No"
"0x8c7ee923ca106abf04a5dfacc1183615434dc333","5E-09","No"
"0x8d49ced7cf72c038d82cbe50561bb4d349b72a24","5283.845921686","No"
"0x8d874c5f931d7fb32fb3249e15463ff682366b0f","1081.62057395","No"
"0x8d9dc45ea6d676e7247d6546cc956110f49ffc9e","4E-09","No"
"0x8dcc27f76ac6cd1480c8fa6eb452846265d609c5","4E-09","No"
"0x8e642fd74a2e5cc6de02a4b6264b1070210dc635","5E-09","No"
"0x8ec4f143eedbd96defb0e14e54c04c61498689ec","815.973636943","No"
"0x8ed897207025733f4929e3b68060313feb2ce565","57939.629795668","No"
"0x8f340ec5a206a6637f927d95f732e19f65a134d3","100","No"
"0x8f8876194df3c75e38cb85f18bb6142c4f019578","8E-09","No"
"0x908bce08e8def7416824621ff10b70e503e5e3d5","111503.312731329","No"
"0x92a75137dfcc5177dd9bdac689d374890186ac85","8E-09","No"
"0x92b75dcb267af1711a42fea61405d4f1555a23fb","1E-09","No"
"0x93911ad362fcb3af570d02f1a4227f0939d564cc","19790.759863935","No"
"0x93e8f23bf071c87e0904bf94de353d06e1c5425f","5E-09","No"
"0x95a9fd8d0e4b6cd59916d4d541c23fededc993e9","637.483560842","No"
"0x9725aaefdddc06f7c87104eaa135af69ca8a6080","3E-09","No"
"0x97434f2518d4073cafec6fd80208ab605a131b1e","2421.495706823","No"
"0x97ef75f58b9b75f3f7f67db3896c0e43ec2b8201","3E-09","No"
"0x99be829d27ee50046f7d5f4ec619de9d59451f01","134414.444966975","No"
"0x9b8fbd66dead256cfa5d4028146773ce34e86b97","117509.159756001","No"
"0x9ca737cab5e735eb557d691934db23d2398d9969","852.466374335","No"
"0x9cf8d2edf498c0b640a26ba366f0f4cd962ccd90","7E-09","No"
"0x9f6db6c0cba330b127c278d6616021886ea243ab","3E-09","No"
"0x9fbc3bf7fa977e23370fde948783e172814889a9","10000.334983128","No"
"0xa07e80181453556645504715397edd0458679b29","901.128177139","No"
"0xa0e4ea9e72f932236845fa237713272704f935a0","4E-09","No"
"0xa37717928a27182c2d85a1d9f440a87be555b8f7","20670.189762915","No"
"0xa3d522c151ad654b36bdfe7a69d0c405193a22f9","100","No"
"0xa3e62094f15a0ce70cdbf8cec7be115a0bc69f61","2E-09","No"
"0xa402e81587c64b6029cf497cea1c6f84f3013f71","50556.47120948","No"
"0xa4d7bf56126fc9d62de4fe9a9b7674947108e7f0","9568.716957446","No"
"0xa4df76b91a2f6baccc86cecd3feea5dd71153720","4E-09","No"
"0xa4e164ce9e97808a1f958d610824465c89dd410f","8E-09","No"
"0xa55c5e834b7303c7b76628aca8c846cde95ec24a","9E-09","No"
"0xa67154f8c02d97f53556206edfb70e292d271623","1798.167424171","No"
"0xa781fd24c78374ce790609d8de0267ca37596aac","9E-09","No"
"0xa7a135afef13813124dd4a8a0bf9424aa2d9b0b8","3E-09","No"
"0xa8280db96d7ceea6fd7db37e514daf5afe2c1f99","7E-09","No"
"0xa97fcc0d9356f1fbf2fef3ae3c7ee286e9d10919","8E-09","No"
"0xa9dc5201287b276bbd2b6ccb0350bbd22121eb37","9E-09","No"
"0xaad3b81df84da91347f539e90263ad6088187f43","461.901932527","No"
"0xac26d909e0a03f60dcaae8eec94200c266503e1a","2E-09","No"
"0xad6c781ecf0f25cd9b87b1aeb404e42880ad7359","6E-09","No"
"0xae40acdadeeebf7efa34650dda6aab14cf8421b0","5183.525445878","No"
"0xb0ed5f46f865c4f47921dc7285692f369339e711","2E-09","No"
"0xb21b00a2f9e3842923672350bbf5707bb05d948c","540.955104181","No"
"0xb22405aff13fa568493411051ac08271c8de4583","706.816623909","No"
"0xb243ebca45b2b240f8e2d59bcd3d3f7231a46ddb","4E-09","No"
"0xb24b4167aa9864143016405410538c7ba6396b3b","4E-09","No"
"0xb2572bdbf4779fe481ae9467f6557ddf3fc2b7ce","9638.021916076","No"
"0xb4027069af964a056991fbee056ab289429d3254","5E-09","No"
"0xb673a0c70706269d8116b657a888b07e5574e909","2990.179000873","No"
"0xb6f12e929d7cbb03c318ee51192b75cbf5eb2fac","8E-09","No"
"0xb769c27f9602476850f9d63fce6c5353797c598f","1061.018058391","No"
"0xb80267ea7fa368374ee4d4bf10044778232adefe","500155.518323582","No"
"0xb83bb24c39f3233e7540908b73d5618f9df3af0e","12640.078457924","No"
"0xb85686c73081f7e0abb86e5357b45cbfe04d3e9b","44253.090896361","No"
"0xb8626578e39f9f7d71fb7d40f87627b3a4c7fd34","27333.299125287","No"
"0xb94464c4ecf0ae2ba49680d400eefd271c555fd6","3E-09","No"
"0xbac0c3103a3b19516e12702d8e7842bcb64b7538","6E-09","No"
"0xbbb08fe9978cb7b3e52decdf613eb9971bcb0e80","50936.293379787","No"
"0xbc33f8896cd4d9d1b634cdc86d56bf36cef72cfd","3E-09","No"
"0xbd4713eab86029180770da858df526c7f2a51d2b","1162.62943227","No"
"0xbd7f1dc9afb60c4c85a1aba3a3ea4df945090687","3E-09","No"
"0xbdece37d3a9b28f9d909f1ea9e722097a4a6f83a","4E-09","No"
"0xc03f5748b5f5c18d392c41dcd81da36230963cd1","72722.937909299","No"
"0xc1048993afe178f3464ab14dd7a8fac9c9b3af17","432367.064144356","No"
"0xc1100576059365be2f452c55d7c44fcb03cb0025","28276.58780817","No"
"0xc242f2575d62a1a76ce2ef295b8aaf9e19e081b6","34607.521664887","No"
"0xc2a82362a9d1a4031ef431777da7c9d457785e09","35000","No"
"0xc8e15b01323634318aec63d0032027a660054e6c","3E-09","No"
"0xc8e53985b8f0686540daf3666cb676819ac9ff48","139.528253372","No"
"0xca3400a647815ac0a32bb5e2c9a6fb45d76eec81","43443.366269508","No"
"0xcb37d9a8ec48c8f5e256796a73edcb9614624564","459.609467001","No"
"0xcb4ab868bc45f7fe6851099cd18d2c5887ebbd43","3E-09","No"
"0xcbbe4dd7b1487d6c7f8cd150ea76ad3fb9126f21","8E-09","No"
"0xcc4327492dd4c951acfe83d7149f23aa3c077932","2E-09","No"
"0xcc486974065bd398928977d7197a022c58d96206","200037.714852971","No"
"0xcc6c487d4937e6a65c429e9822befbd5ac867b43","9E-09","No"
"0xcca8045f36f8987e639409eb0bb6863f8185e4e3","5E-09","No"
